Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQH7EoP6kQz6Yw/feedshare-shrink_800/0/1631127624976?e=1646870400&v=beta&t=IIXimRiW8nNalAk-JBdlbEaAYQkmEPLg9n4lyXSI-NA,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQG8OPjGH2CcHQ/feedshare-shrink_800/0/1629462606188?e=1646870400&v=beta&t=36BwCIAd40YmffOfvSku9AIONRNeFLam2rkKYUv78JA,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C5622AQERNWL2tGAEZg/feedshare-shrink_800/0/1616659205206?e=1646870400&v=beta&t=W2fwTE_An4u1LwngX8vSOEAOo4W-NC2A_7XmyP79tL8,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4E05AQGTggG8P4Fb9w/videocover-low/0/1622209074186?e=1644163200&v=beta&t=OHk3Q7nU4rOXTU22qSm5HMp8X0kShoSHjDoMstc90t8,,Not Accessible,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQHV-yaqCCR9KA/feedshare-shrink_800/0/1617199208310?e=1646870400&v=beta&t=gkShphegHG4X9byz92tObwcXttlULyFOrgmY0tuf_uI,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQGQ4nn9CPrQ6w/feedshare-shrink_800/0/1633348898413?e=1646870400&v=beta&t=2ZP2EdRxxVZsb6wPa7fEkOpF4_gUvZh6b4AiHVw3NNE,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQEPMO2DeLeidg/feedshare-shrink_2048_1536/0/1616663021226?e=1646870400&v=beta&t=7_cjOhRiF-pjsO96fHDu5vFAOETnmwPT4otfv8OlAOc,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4E05AQFh2hjGILRfZA/videocover-high/0/1637836465334?e=1644163200&v=beta&t=sKt5uwEGUiKUxiMAiJ0OiA6PIbhlL9z0kHtwjRGBbkM,,Not Accessible,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQFS-aWc675ciQ/feedshare-shrink_800/0/1624276810863?e=1646870400&v=beta&t=cGuKNcxyMF2G4KWT5E5Zhr2A1gD0KquPX41P-laVi8g,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQGNG9V3l01Ztg/feedshare-shrink_800/0/1632333602332?e=1646870400&v=beta&t=besTKKiX9mGp8_Z5fhz-F3P3MWSuszjcZlAeSa8a9IQ,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4E22AQEljAK3cfPY1g/feedshare-shrink_800/0/1630666801443?e=1646870400&v=beta&t=9wgML1vc238e9s7lwJ-faeDuG_4ASKpxoodNmE1w6QM,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4E22AQEf2J_t3Y35Sw/feedshare-shrink_800/0/1629316815729?e=1646870400&v=beta&t=byMuVNXeH2TH3yKlEyStD9jeAjrB3xCzy3Qr__o4mn4,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQFcVkpVb-nf9Q/feedshare-shrink_800/0/1621958412277?e=1646870400&v=beta&t=IEPxz0kqx-C2oU1Dc46-aSkNcSGE8ap9pEIgsjwk7AU,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQFB6ZnVa-watw/feedshare-shrink_800/0/1620648028165?e=1646870400&v=beta&t=6hUZWavOjMX9mfAPJzHvCuaQzwCAvaOLuZnm57mkLWA,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQEdqy78mBrZhQ/feedshare-shrink_800/0/1623258023122?e=1646870400&v=beta&t=BEiy1fIDRVIBnuwzu6eQ_dHHd31BrRirAbTlDvVqgL8,3,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ['anger: VERY_UNLIKELY', 'joy: VERY_UNLIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ['anger: VERY_UNLIKELY', 'joy: VERY_UNLIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQGLFwxDFbHgKw/feedshare-shrink_800/0/1632312009783?e=1646870400&v=beta&t=D4DFh1kFB7M7sjlfSUnUz5lq_5TF9n_WZkvmHkypByE,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQHYxG3HSXlYlQ/feedshare-shrink_800/0/1622030409883?e=1646870400&v=beta&t=h-ff7lI5PL50sHikdDKyt2hUclMeIlWmz_fR3DoAIfM,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQEE_2zAwxhV0Q/feedshare-shrink_800/0/1626782415663?e=1646870400&v=beta&t=oYEpxYq1kVDIL6hHL5CHZYMaa4--x5qm4vdXTF723NE,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQHK2tG1FCvfHQ/feedshare-shrink_800/0/1634644836336?e=1646870400&v=beta&t=_vq9vIVS8nul8DDxZuUCmqHmFjteuf41M6lGmQo_B54,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQHSGcVnyoLqSw/feedshare-shrink_800/0/1622383207089?e=1646870400&v=beta&t=9XV0zmwkSnlnsLsNai9946BrQtBbmzZApbXogaiMppU,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4E22AQHL0VLQgpC8mg/feedshare-shrink_800/0/1624196296838?e=1646870400&v=beta&t=xX0ojsZ2mByN5IYuY0Ee1lylQfkct4rl4WSHFlzG3R8,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4E22AQFjnmsgozWhnw/feedshare-shrink_800/0/1615216210008?e=1646870400&v=beta&t=y4ueeuxvGZBjvqrjDH7bTPkWV059ckkQ-onhhQ7Cw8E,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, 
https://media-exp1.licdn.com/dms/image/C4D22AQExbxeXo9LvBg/feedshare-shrink_800/0/1618523841242?e=1646870400&v=beta&t=RdKGopV4wis2ZyoubfvFOvLhpz-iSdPB_u78Fd9CGug,4,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'],
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D05AQEGgUdP3soW3Q/videocover-low/0/1632747735954?e=1644163200&v=beta&t=NtDtf3IOgQY70hYi1Zcwcw5L1Ks9Z-BWNToYLtoM830,,Not Accessible,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQHUu-Xl72E4Hg/feedshare-shrink_800/0/1634904010569?e=1646870400&v=beta&t=vQ4zJK-qVjsLFMOcCz2PBuY1x7zVrx9Vr-feaO_NhPA,1,['anger: VERY_UNLIKELY', 'joy: POSSIBLE', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
